m,lambda,model
1.5911297694865,346.30153468939,BSR2
1.61862414994775,310.849792331794,BSR2
1.64548113073852,279.83308439813,BSR2
1.67169596850035,252.617497065249,BSR2
1.69726540174452,228.669787322191,BSR2
1.72218779140601,207.539758229789,BSR2
1.74646333553298,188.845929436016,BSR2
1.77009384220687,172.264207355237,BSR2
1.79308242299305,157.518592589306,BSR2
1.81543387053632,144.37310507508,BSR2
1.83715367713226,132.625911440486,BSR2
1.85824843175288,122.103658460538,BSR2
1.87872555505206,112.657141779652,BSR2
1.89859344795626,104.157511388017,BSR2
1.91786123995631,96.4932860269915,BSR2
1.93653903158582,89.5676586482597,BSR2
1.95463666482153,83.2967579144676,BSR2
1.97216495125458,77.6073257725518,BSR2
1.98913534433619,72.4353147750211,BSR2
2.00555862445879,67.7249558911497,BSR2
2.02144683137991,63.4270505794297,BSR2
2.03681187769874,59.4984459992542,BSR2
2.05166589339228,55.9011178062552,BSR2
2.06602054765469,52.6016345862122,BSR2
2.07988798539736,49.5703349177859,BSR2
2.09328078090658,46.7808545578918,BSR2
2.10621040055499,44.2100081337617,BSR2
2.11868946491314,41.8369434287104,BSR2
2.13072961900844,39.643248402292,BSR2
2.14234241726266,37.6124849733009,BSR2
2.15354004888094,35.7298283779572,BSR2
2.16433363214143,33.9821529583471,BSR2
2.17473454869236,32.3576162217441,BSR2
2.18475427710203,30.8455373218974,BSR2
2.19440329339461,29.4364224825796,BSR2
2.20369265229165,28.121604540859,BSR2
2.2126328399481,26.893309681093,BSR2
2.2212339015254,25.7445399919634,BSR2
2.22950633485965,24.668872957636,BSR2
2.23745961150982,23.6605873449772,BSR2
2.24510359681315,22.7144124102498,BSR2
2.25244744481845,21.8256144432743,BSR2
2.259500350834,20.9898526498145,BSR2
2.26627119748061,20.2031799024953,BSR2
2.27276872875934,19.4619838098016,BSR2
2.27900135803759,18.7629745425185,BSR2
2.28497714017432,18.1031569080365,BSR2
2.29070417771555,17.4797583381044,BSR2
2.29619013356283,16.8902592546322,BSR2
2.30144245971004,16.332346043792,BSR2
2.30646866573182,15.8038640990119,BSR2
2.31127566034105,15.3028704461742,BSR2
2.31587045554776,14.8275442705711,BSR2
2.32025962131775,14.3762306301774,BSR2
2.32444958887271,13.9473963386515,BSR2
2.32844671035973,13.5396135952503,BSR2
2.33225706766986,13.1515694848864,BSR2
2.33588658499997,12.782045944832,BSR2
2.33934090908888,12.4299239748248,BSR2
2.34262563597695,12.0941535234916,BSR2
2.34574606393698,11.7737724001114,BSR2
2.34870746653589,11.4678725578418,BSR2
2.35151484389444,11.1756204658738,BSR2
2.35417309002754,10.8962353607076,BSR2
2.35668689045934,10.6289956430729,BSR2
2.35906088642422,10.3732178412987,BSR2
2.36129944239274,10.1282781095876,BSR2
2.36340687501861,9.89358448820137,BSR2
2.3653873927188,9.66858032405089,BSR2
2.36724498023094,9.4527549576642,BSR2
2.3689835033751,9.24563021052391,BSR2
2.37060677647061,9.04674976021457,BSR2
2.37211840727473,8.85569639845022,BSR2
2.373521997705,8.67206525473353,BSR2
2.37482093927672,8.49548818462449,BSR2
2.37601855181156,8.32561514630392,BSR2
2.37711806429215,8.16211482060333,BSR2
2.37812254207349,8.00468489775111,BSR2
2.37903502780329,7.85302992359404,BSR2
2.37985844314198,7.70687503270878,BSR2
2.38059560780046,7.56596273243498,BSR2
2.38124925664124,7.43004953325967,BSR2
2.38182203040487,7.29890759487925,BSR2
2.38231649683158,7.17232016483361,BSR2
2.38273514948742,7.05008064483439,BSR2
2.38308039222889,6.93199599218197,BSR2
2.38335455317756,6.81788438679813,BSR2
2.38355989543528,6.70757078351623,BSR2
2.38369860310435,6.6008932894408,BSR2
2.38377279733349,6.49769656825627,BSR2
2.383784532505,6.39783386494538,BSR2
0.830832385009122,13773.5057362543,BSR6
0.86339086532132,11310.0500111341,BSR6
0.896431850913174,9318.77470039768,BSR6
0.929900581247441,7704.67328284586,BSR6
0.963739379293487,6392.56652838014,BSR6
0.99788814714548,5322.8444783577,BSR6
1.0322850389444,4448.14110808905,BSR6
1.06686650005712,3730.75102243332,BSR6
1.10156900567606,3140.57205156949,BSR6
1.13632882642584,2653.53534850235,BSR6
1.17108326142863,2250.34432757584,BSR6
1.20577081603128,1915.49839876941,BSR6
1.24033110680766,1636.52126196322,BSR6
1.27470566928981,1403.34281989469,BSR6
1.30883922418766,1207.81040962325,BSR6
1.34267857483359,1043.31529976368,BSR6
1.37617438716804,904.479673436175,BSR6
1.40928035277603,786.92074002253,BSR6
1.44195328686077,687.057105071845,BSR6
1.47415384790733,601.952705952097,BSR6
1.5058458892194,529.195865384962,BSR6
1.53699728515256,466.798529831278,BSR6
1.56757981649682,413.117800834028,BSR6
1.59756856327512,366.793230695254,BSR6
1.6269415909463,326.695380117833,BSR6
1.6556807100068,291.882893543873,BSR6
1.6837704781682,261.570044374627,BSR6
1.71119905998118,235.098201607698,BSR6
1.73795729792327,211.914511325113,BSR6
1.76403857476558,191.553603257853,BSR6
1.7894385917902,173.62270795348,BSR6
1.81415547401972,157.789262880259,BSR6
1.83818919573242,143.771167156068,BSR6
1.86154202313054,131.328173119369,BSR6
1.88421797587944,120.255342020881,BSR6
1.90622229586887,110.37756388586,BSR6
1.92756171875316,101.544652702511,BSR6
